ad_id,subject,price,price_string,price_million_per_m2,size,land_area,length,width,rooms,toilets,floors,direction,property_legal_document,furnishing,house_type,property_type,category_name,area_name,ward_name,region_name,address,street_name,date,latitude,longitude,image,number_of_images,account_name,is_seller_verified,url
177303521,"Chính chủ cần bán gấp đất thổ cư 182,9m² Quận 12",6200000000,"6,2 tỷ",33.87978,183,,,,,,,,,,,Đất,Đất,Quận 12,Phường Thạnh Xuân,Tp Hồ Chí Minh,,TX33,7 giây trước,10.8834305,106.670395,https://cdn.chotot.com/W_62HCWxMDmoeeFHTXuJUCRIx5eonu3hOpkB56zsVTI/preset:listing/plain/67e9b7605f3cf197969ea1e98a57fed0-2992216979731194016.jpg,8,hà hữu ,False,https://www.nhatot.com/133431549.htm
178126675,Chính chủ bán căn hộ Chung cư số 4 Phan Chu Trinh Bình Thạnh dt 62m2,3690000000,"3,69 tỷ",59.51613,62,,,,2,1,,,,,,Căn hộ/Chung cư,Căn hộ/Chung cư,Quận Bình Thạnh,Phường 12,Tp Hồ Chí Minh,,Đường Phan Chu Trinh,24 giây trước,10.803685,106.70159,https://cdn.chotot.com/Ay2QWPISK61fs_J2RixKNRw5jIJB8tV1KWG9hx3Fo_I/preset:listing/plain/a13e37ffc8a8d81a50edc5005d9befc0-2997576675742905035.jpg,8,Nguyễn Đình Điển,False,https://www.nhatot.com/134137809.htm
178019700,Bán đất nền xã Hòa Tịnh - Huyện Mang Thít - Tỉnh Vĩnh Long ,399950000,"399,95 triệu",2.8877256,138.5,,27,5,,,,,,,,Đất,Đất,Huyện Mang Thít,Xã Hòa Tịnh,Vĩnh Long,,Đường,38 giây trước,10.2093525,106.04639,https://cdn.chotot.com/9l74Pv-IsfyJ3fr0y_mKbyWvuOPw9xv4i7R3pNCl4t0/preset:listing/plain/5c767876e08ed33fbafd46dd5e385baa-2996962577625096090.jpg,8,Ngọc Võ,False,https://www.nhatot.com/134046936.htm
178062796,Bán đất tặng nhà cấp 4,11000000000,11 tỷ,157.14285,70,,17.5,4,2,,,2,,,,Nhà ở,Nhà ở,Quận Ngũ Hành Sơn,Phường Mỹ An,Đà Nẵng,,Đường Mỹ Đa Đông 5,38 giây trước,16.04769,108.24665,https://cdn.chotot.com/GqA4gNIJ8KpfSSfrqKiiZ8WFWqKqeFus6zBcCm7xDyg/preset:listing/plain/6ca3d784624015fec0849e43be03b41d-2997172339717282761.jpg,3,Trần Ngọc Thiện,False,https://www.nhatot.com/134083268.htm
178078629,Tài chính chỉ khoảng hơn tỷ là sở hữu ngay lô đất 157m2 tại Hòa Nghĩa,1300000000,"1,3 tỷ",19.25926,67.5,,11,5.8,,,,6,,,,Đất,Đất,Quận Dương Kinh,Phường Hoà Nghĩa,Hải Phòng,,Phố Hoà Nghĩa,38 giây trước,20.775719,106.71835,https://cdn.chotot.com/ecIQZc7RGZ4ITjkKlPTIXgOQvAQ4VqC2XOMkebHKdTU/preset:listing/plain/fe8287f2a99bd3bb147e4085334b40f9-2997283249383245289.jpg,4,Dai Nguyen,False,https://www.nhatot.com/134096575.htm
178031687,"Bán nhà- Dragon Village - Căn góc 2 mặt tiền - 160m² - 11,5 tỷ",11500000000,"11,5 tỷ",71.875,160,,15,11.5,2,2,3,8,,,,Nhà ở,Nhà ở,Thành phố Thủ Đức,Phường Phú Hữu (Quận 9 cũ),Tp Hồ Chí Minh,,990,38 giây trước,10.79352,106.80008,https://cdn.chotot.com/xCsZTiEean24LrkfaVmVsAeBv3NcBAIOsfi7jTcXOys/preset:listing/plain/f87171efc849a404b345881179d480c4-2997002517867175798.jpg,8,Quốc Đại Tạ,False,https://www.nhatot.com/134057886.htm
173498490,Cần bán gấp căn góc cao ốc An Khánh view đẹp,5250000000,"5,25 tỷ",59.659092,88,,,,2,2,,6,,,,Căn hộ/Chung cư,Căn hộ/Chung cư,Thành phố Thủ Đức,Phường An Phú (Quận 2 cũ),Tp Hồ Chí Minh,,Đường Song Hành,43 giây trước,10.800222,106.73834,https://cdn.chotot.com/19ubAj7X6dVn3lLyz3yQrPAaJkNdvwMocY4I6E828cA/preset:listing/plain/3dff433d8f15474d18d11b7dc021791c-2966073954243525845.jpg,12,Dưỡng,False,https://www.nhatot.com/130168792.htm
178126509,"BÁN ĐẤT ĐƯỜNG 7M5 NGUYỄN XIỂN,NGŨ HÀNH SƠN GIÁ 8 TỶ 5",8500000000,"8,5 tỷ",86.734695,98,,,5,,,,5,,,,Đất,Đất,Quận Ngũ Hành Sơn,Phường Khuê Mỹ,Đà Nẵng,,Đường Nguyễn Xiển,57 giây trước,16.015272,108.25553,https://cdn.chotot.com/BBPHymmwbSOJobWb7lI-_dQxdvCTfZT6rfG8sj_hDnA/preset:listing/plain/03913346c7ca496557334748c36f9539-2997576746228340946.jpg,3,T AN,False,https://www.nhatot.com/134137795.htm
173376742,"🐳★ Giá : 23.5tỷ Nhà đẹp, full nội thất Cityland park Hills",23500000000,"23,5 tỷ",235,100,,20,5,6,7,,3,,,,Nhà ở,Nhà ở,Quận Gò Vấp,Phường 10,Tp Hồ Chí Minh,,Phan Văn Trị,1 phút trước,10.83485,106.66716,https://cdn.chotot.com/n_1zHczWeTCBywoNbzx6ffxYVmFIFE5fzyZjcijhhkE/preset:listing/plain/b0b52039435c3127c7f2ab6227da2a68-2965259233476811631.jpg,5,Mr Thanh Nagoya ,False,https://www.nhatot.com/130063171.htm
177999252,"NHÀ 2 TẦNG HXH LÊ TRỌNG TẤN, TÂY THẠNH, TÂN PHÚ, 40 M2, GIÁ 4,2 TỶ",4200000000,"4,2 tỷ",105,40,,10,4,2,,2,,,,,Nhà ở,Nhà ở,Quận Tân Phú,Phường Tây Thạnh,Tp Hồ Chí Minh,,Đường Lê Trọng Tấn,1 phút trước,10.811305,106.6108,https://cdn.chotot.com/zn1eadHwaVSmW5W_ylePwibNr7x4lOAR6kBx8aI4l0I/preset:listing/plain/2bc00872231b731a8db354c26a4295bc-2996807118685532770.jpg,5,Hoàng Nhiệm,False,https://www.nhatot.com/134029104.htm
178126655,"Nhà mới đẹp 3 tầng 3PN đường xe hơi 5m Quốc lộ 1K, Linh Xuân, Thủ Đức.",2900000000,"2,9 tỷ",126.08696,23,,10,2.2999,3,,3,3,,,,Nhà ở,Nhà ở,Thành phố Thủ Đức,Phường Linh Xuân (Quận Thủ Đức cũ),Tp Hồ Chí Minh,,Đường Quốc lộ 1K,1 phút trước,10.875734,106.76607,https://cdn.chotot.com/EBPKWJSDRqOg5bw3Hnd-oKg5GS3ceraWxg5bt6TciN0/preset:listing/plain/66c6bac088f19c64dc1dc93e3b902810-2997577267286989010.jpg,5,Nguyễn Sơn,False,https://www.nhatot.com/134137788.htm
178053986,BÁN GẤP SAIGON ASIANA SỔ HỒNG 2PN HƯỚNG ĐÔNG 3.95,3950000000,"3,95 tỷ",58.088234,68,,,,2,,,,,,,Căn hộ/Chung cư,Căn hộ/Chung cư,Quận 6,Phường 12,Tp Hồ Chí Minh,,Nguyễn Văn Luông,2 phút trước,10.75054,106.63661,https://cdn.chotot.com/4aB41YnKP8jmSHrLLuG_YYnTLrf1IV_pfZyY13TTEHE/preset:listing/plain/eb9c9649dce35837aae147e3f85da8a2-2997134833509986914.jpg,8,MUA BÁN CHO THUÊ CĂN HỘ SÀI GÒN,False,https://www.nhatot.com/134075387.htm
178042923,🌺🌈CHÍNH CHỦ BÁN NHÀ TÂN MAI-BIÊN HOÀ.ĐANG CÓ DÒNG TIỀN CHO THUÊ!!,5500000000,"5,5 tỷ",52.38095,105,,18,5.5998,1,1,,,,,,Nhà ở,Nhà ở,Thành phố Biên Hòa,Phường Tân Mai,Đồng Nai,,Đường Phạm Văn Thuận,2 phút trước,10.954685,106.85198,https://cdn.chotot.com/-ZyT5iJIzCXJYawlFLK-wuPiuksJfB5_BR-g5EKy_3M/preset:listing/plain/76a8022e94f0d3aa36c1c26ea6793e1b-2997099248811906087.jpg,4,Hoàng,False,https://www.nhatot.com/134065828.htm
178022622,TRẦN BÌNH TRỌNG – PHƯỜNG CHỢ QUÁN – 5 TẦNG – NỘI THẤT CAO CẤP,9500000000,"9,5 tỷ",226.19048,42,,10.6998,3.9,5,3,5,3,,,,Nhà ở,Nhà ở,Quận 5,Phường 1,Tp Hồ Chí Minh,,Đường Trần Bình Trọng,2 phút trước,10.75233,106.68221,https://cdn.chotot.com/GkOIFgDM6oS-ka9_ECq6_kg5N5uNYnprj-H1X2yu4Xs/preset:listing/plain/f3ba484925ad58775e4863b64c8c3676-2996972205204045948.jpg,10,nguyen van tai,False,https://www.nhatot.com/134049131.htm
178081987,CHÍNH CHỦ GỬI BÁN NHÀ TẠI GÒ VẤP CHƯA QUA ĐẦU TƯ,5500000000,"5,5 tỷ",156.25,35.2,,9,3.5899,3,,2,8,,,,Nhà ở,Nhà ở,Quận Gò Vấp,Phường 16,Tp Hồ Chí Minh,,Hẻm 350 Nguyễn Văn Lượng,2 phút trước,10.840623,106.669586,https://cdn.chotot.com/YZ08TCnjED020Y9FvgMRuuBEkH7_DuxNGFt3k2Im7D8/preset:listing/plain/5cc797127eba638bb3c06802c7b030b2-2997294644120966480.jpg,5,Khanh Nhà Thật,False,https://www.nhatot.com/134099384.htm
178079725,cần bán nhà gấp,4900000000,"4,9 tỷ",56.712963,86.4,,,,3,2,2,,,,,Nhà ở,Nhà ở,Thành phố Dĩ An,Phường Tân Đông Hiệp,Bình Dương,,Đường Tân An,2 phút trước,10.911025,106.79115,,0,Chị Trâm,False,https://www.nhatot.com/134097434.htm
178126641,"HOT CĂN HỘ 1PN+ 98,2M2 SÂN VƯỜNG 44M2 FOURS TOWER GIÁ 2 TỶ8",2768000000,"2,768 tỷ",28.18743,98.1998,,,,2,1,,,,,,Căn hộ/Chung cư,Căn hộ/Chung cư,Quận Ngũ Hành Sơn,Phường Hoà Quý,Đà Nẵng,,"Phường Hòa Quý, Quận Ngũ Hành Sơn, Đà Nẵng",2 phút trước,16.010073,108.241394,https://cdn.chotot.com/zH6mOZa5KsxxVoeA2DKnQZkhNwVeUU0Ll8hcDuGmXW4/preset:listing/plain/cda55f9fbf983f4ca15eb1319fbf9062-2997576948674236121.jpg,7,NGUYỄN VĂN  KỲ BĐS ĐÀ NẴNG,False,https://www.nhatot.com/134137782.htm
176821151,"Nhà Ngang 5m, Khu Tên Lửa 5x19m, 3 tấm, 11,97 tỷ. Nhà mới, Gần Aeon",11970000000,"11,97 tỷ",126,95,,19,5,4,5,3,2,,,,Nhà ở,Nhà ở,Quận Bình Tân,Phường Bình Trị Đông B,Tp Hồ Chí Minh,,Đường Số 6,2 phút trước,10.754935,106.61923,https://cdn.chotot.com/tbioSK3a4YCkjW9nuM4oo3lInEf5KizO3Nri1_gfIDw/preset:listing/plain/b224d22ad8e8f851ee80a2c3cc0f85a6-2989134875057220071.jpg,8,Hoàng Nga BĐS Khu Tên Lửa,False,https://www.nhatot.com/133022702.htm
177295604,Cần bán ngay căn 1n+ 43m giá 2.8 tỷ tại Vinhomes Smartcity,2800000000,"2,8 tỷ",58.333332,48,,,,1,1,,,,,,Căn hộ/Chung cư,Căn hộ/Chung cư,Quận Nam Từ Liêm,Phường Tây Mỗ,Hà Nội,,Đại Mỗ,2 phút trước,21.01006,105.7404,https://cdn.chotot.com/4SpngRg4nLdHOvegC7sXwx-F2dV6W1puKP2NvD5M9-g/preset:listing/plain/b99dccd17ac4e4545dab937611e06a88-2992187596645454953.jpg,6,Hoàng Thùy Linh,False,https://www.nhatot.com/133424590.htm
177576993,"Bán nhà chính chủ- Hướng ĐB - có sổ hồng tại P.6, quận Tân Bình (cũ) ",6100000000,"6,1 tỷ",169.44444,36,,11,3.2,4,,2,,,,,Nhà ở,Nhà ở,Quận Tân Bình,Phường 6,Tp Hồ Chí Minh,,Lộc Vinh,2 phút trước,10.783789,106.65826,https://cdn.chotot.com/UeWB04hv_96GqSA-EiCbEPrbx-3q9xhFUqF1WIlLZU4/preset:listing/plain/c90bd4bffd8e0af2494d529a7ffcc6ce-2994065568522566847.jpg,3,Ánh Khuyên,False,https://www.nhatot.com/133686705.htm
